Kategorie;Level;Frage;A;B;Korrekte Antwort;Erklaerung
Geographie;einfach;Wie heisst die Hauptstadt von Deutschland?;Berlin;Rom;Berlin;Berlin ist seit Vollzug der Deutschen Einheit am 3. Oktober 1990 die Bundeshauptstadt der Bundesrepublik Deutschland.
Geographie;schwer;Wieviele europaeische Staaten nutzen den Euro als offizielle Waehrung?;12;19;19;19 europaeische Staaten nutzen den Euro als offizielles Zahlungsmittel. Die verbindlichen wirtschaftlichen und rechtlichen Bedingungen wurden 1992 im Vertrag von Maastricht vereinbart und werden daher auch als Maastricht-Kriterien bezeichnet.
Geschichte;einfach;Wie wurde die Deutsche Demokratische Republik abgekuerzt?;DDR;BRD;DDR;Die Deutsche Demokratische Republik DDR war ein Staat in Mitteleuropa, der von 1949 bis 1990 existierte. Die DDR entstand aus der Teilung Deutschlands nach 1945, nachdem die Sozialistische Einheitspartei Deutschlands auf Betreiben der sowjetischen Besatzungsmacht ein diktatorisches Regime errichtet hatte, das bis zur friedlichen Revolution im Herbst 1989 existierte.
Geschichte;einfach;Wann war die deutsche Wiedervereinigung?;1945;1990;1990;Die deutsche Wiedervereinigung oder deutsche Vereinigung war der durch die friedliche Revolution in der DDR angestossene Prozess der Jahre 1989 und 1990, der zum Beitritt der Deutschen Demokratischen Republik zur Bundesrepublik Deutschland am 3. Oktober 1990 fuehrte.
Geschichte;schwer;Welches Ereignis vom 14. Juli 1789 gilt als eines der bedeutenden Ereignisse am Beginn der Franzoesischen Revolution?;Sturm auf die Bastille;Ausverkaufte Baguettes in Paris;Sturm auf die Bastille;Der Sturm auf die Bastille am 14. Juli 1789 gilt als eines der bedeutenden Ereignisse am Beginn der Franzoesischen Revolution. Die Bastille, Symbol der Unterdrueckung durch das Ancien RÃ©gime, wurde von einer Menschenmenge umlagert und schliesslich eingenommen.
Geographie;mittel;Wieviel mal ist Russland groesser als Deutschland?;35 mal;50 mal;50 mal;Die Fläche Russlands beträgt 17.075.400 quadratkilometer. Das sind 11,5% des gesamten Festlands. Damit ist Russland der flächenmaeßig groeßte Staat der Erde.
Geschichte;mittel;Wielang dauerte der zweite Weltkrieg?;6 Jahre;4 Jahre;6 Jahre;Der Zweite Weltkrieg began am 1. September 1939  und ging bis zum 2. September 1945. Er war der zweite global gefuehrte Krieg saemtlicher Großmaechte im 20. Jahrhundert. In Europa begann er am 1. September 1939 mit dem von Adolf Hitler befohlenen Ueberfall auf Polen.
Chemie;einfach;Aus welchen Elementen besteht Wasser?;Wasserstoff und Sauerstoff;Wasserstoff und Helium;Wasserstoff und Sauerstoff;Wasser (H2O) ist eine chemische Verbindung aus den Elementen Sauerstoff (O) und Wasserstoff (H). Die Bezeichnung Wasser wird besonders für den fluessigen Aggregatzustand verwendet. Im festen, also gefrorenen Zustand, wird es Eis genannt, im gasfoermigen Zustand Wasserdampf oder einfach nur Dampf
Chemie;mittel;Ist eine Verbrennung von Holz eine exotherme oder endotherme Redoxreaktion?;Endotherm;Exotherm;Exotherm;Eine Verbrennung ist eine Redoxreaktion, die unter Abgabe von Energie in Form von Waerme und Licht ablaeuft, also exotherm. Für eine Verbrennung wird das Element Sauerstoff benötigt, woraus sich dann Kohlenstoffmonoxid und Kohlenstoffdioxid bildet. 
Chemie;schwer;Was ist eine Redoxreaktion?;Chemische Reaktion bei der ein Elektronenaustausch stattfindet;Chemische Reaktion von Oxiden, also Sauerstoffverbindungen;Chemische Reaktion bei der ein Elektronenaustausch stattfindet;Eine Redoxreaktion (eigentlich Reduktions-Oxidations-Reaktion) ist eine chemische Reaktion, bei der ein Reaktionspartner Elektronen auf einen anderen Reaktionspartner uebertraegt. Der als Reduktionsmittel bezeichnete Partner (zum Beispiel Wasserstoff) gibt Elektronen ab und wird dabei oxidiert.
Chemie;einfach;Was ist bestandteil von Atomen?;Atomstrasse;Atomkern;Atomkern;Der Atomkern ist der positiv geladene innere Teil eines Atoms. Die Unterteilung eines Atoms in Atomkern und Atomhuelle geht auf Ernest Rutherford zurueck, der 1911 in Streuexperimenten zeigte, dass Atome aus einem winzigen, kompakten Kern in einer leichten Huelle bestehen muessen.
Chemie;mittel;Was steht im Periodensystem?;Liste aller chemischen Elemente;Liste aller Chemielehrern der Schulen;Liste aller chemischen Elemente;Das Periodensystem ist eine Liste aller chemischen Elemente, geordnet nach steigender Kernladung (Ordnungszahl). Die Liste wird so in Zeilen (Perioden) unterteilt, dass in jeder Spalte (Gruppe) der entstehenden Tabelle Elemente mit aehnlichen chemischen Eigenschaften stehen
Chemie;schwer;Wieviel Valenzelektronen hat das Element Fluor?;5;7;7;Das Element Fluor steht im Periodensystem in der 7. Hauptgruppe und hat somit 7 Valenzelektronen. Somit gehört es zu der Gruppe der Halogenen, von denen es das leichteste ist.
Geographie;einfach;Wie heisst das beste Bundesland von Deutschland?;Baden-Wuerttemberg;Thueringen;Baden-Wuerttemberg;Natuerlich ist Baden-Wuerttemberg die richtige Antwort! Es befindet sich im Suedwesten Deutschlands, und liegt an der Grenze zu Frankreich und der Schweiz.
Geographie;mittel;Wieviel Staaten hat die USA?;45;50;50;Die Vereinigten Staaten von Amerika sind eine foederale Republik. Sie besteht aus 50 Bundesstaaten, einem Bundesdistrikt, der Hauptstadt Washington, D.C., fuenf groeßeren unmittelbar unionsabhaengigen Territorien und neun Inselterritorien.
Geographie;schwer;An welchem Pol leben Pinguine in freier Natur?;Nordpol;Suedpol;Suedpol;Eisbaeren leben am Nordpol, und Pinguine am Suedpol. Das ist auch der Grund warum Eisbären keine Pinguine fressen koennen.
Geschichte;schwer;"Der Diktator Pol Pot war ""Bruder Nummer eins"" im kommunistischen Regime seines Landes. In welchem Land herrscht er?";Vietnam;Kambodscha;Kambodscha;Pol Pot regierte von 1975 bis 1979 und ließ 1,7 Millionen Kambodschaner umbringen.
Geschichte;mittel;"Wer sagte folgenden Satz? ""Die Religion ist das Opium des Volkes.""";Karl Marx;Friedrich Engels;Karl Marx;Karl Marx, ein deutscher Philosoph, war der Ansicht, dass Religion die Entwicklung eines revolutionaeren Bewusstseins verhinderte.
Mathematik;einfach;Was ergibt 1 + 2 + 3 + 4 + 5?;12;15;15;Man bekommt die Loesung indem man die einzelnen Zahlen aufsummiert, also zusammenzaehlt.
Mathematik;einfach;Max hat auf dem Wochenmarkt 10 Melonen gekauft. Diese würde er gerne mit seinen 3 Freunden gerecht aufteilen. Wieviel Melonen bekommt jeder?;3,33 Melonen;2,5 Melonen;2,5 Melonen;Die Aufgabe ist, dass 10 Melonen gerecht auf 4 Personen aufgeteilt werden, also dass jede Person gleich viele Melonen bekommt. Dafuer muss man 10 durch 4 teilen und erhaelt 2,5.
Mathematik;mittel;Was ergibt die Fakultaet von 5?;120;100;120;Um die Fakultaet von 5 auszurechnen, muss man 5 mal 4 mal 3 mal 2 mal 1 berechnen.
Mathematik;mittel;Was ist das Symbol fuer die Fakultaet?;Ein Ausrufezeichen nach der Zahl;Ein Doppelpunkt vor der Zahl;Ein Ausrufezeichen nach der Zahl;Die Fakultaet ist in der Mathematik eine Funktion, die einer natuerlichen Zahl das Produkt aller natuerlichen Zahlen kleiner oder gleich dieser Zahl zuordnet.
Mathematik;schwer;Was ergibt die Summe aller natuerlichen Zahlen?;Unendlich;minus 1 zwoelftel;minus 1 zwoelftel;Die unendliche Reihe, deren Terme die natuerlichen Zahlen 1 + 2 + 3 + 4 + ? sind, ist eine divergierende Reihe. Durch die Zeta-Funktionsregulierung und der Ramanujan-Summierung kann der Reihe der Wert von minus 1 zwoelftel zugeordnet werden.
Mathematik;schwer;Wieviel sind 80% von 75?;60;55;60;80 % entsprechen vier fuenftel. Somit muss man 75 durch 5 dividieren und mit vier multiplizieren, was 60 ergibt.
